Participant_ID,Dates,Calories
p02,2020-10-16,-1025.9034768965093
p02,2020-10-17,-1096.2951837087112
p02,2020-10-18,-817.6031621316502
p02,2020-10-19,-616.1492565071878
p02,2020-10-20,-782.0906467584116
p02,2020-10-21,-577.0419006122926
p02,2020-10-22,-393.5947529470054
p02,2020-10-23,-1085.225680865634
p02,2020-10-24,-1155.6173876772777
p02,2020-10-25,-876.9253661003331
p02,2020-10-26,-675.4714604766332
p02,2020-10-27,-841.4128507275088
p02,2020-10-28,-636.3641045813173
p02,2020-10-29,-452.9169569158325
p02,2020-10-30,-1144.5478848346793
p02,2020-10-31,-1214.9395916458438
p02,2020-11-01,-936.2475700690169
p02,2020-11-02,-734.7936644444205
p02,2020-11-03,-900.735054696038
p02,2020-11-04,-695.6863085493603
p02,2020-11-05,-512.2391608849757
p02,2020-11-06,-1203.870088803883
p02,2020-11-07,-1274.2617956150998
p02,2020-11-08,-995.5697740369162
p02,2020-11-09,-794.1158684133326
p02,2020-11-10,-960.0572586647049
p02,2020-11-11,-755.008512517894
p02,2020-11-12,-571.5613648534859
p02,2020-11-13,-1263.1922927705984
p02,2020-11-14,-1333.5839995838392
p02,2020-11-15,-1054.8919780055996
p02,2020-11-16,-853.4380723817122
p02,2020-11-17,-1019.3794626332337
p02,2020-11-18,-814.3307164873765
p02,2020-11-19,-630.8835688226295
p02,2020-11-20,-1322.514496739723
p02,2020-11-21,-1392.906203552232
p02,2020-11-22,-1114.2141819738913
p02,2020-11-23,-912.7602763511574
p02,2020-11-24,-1078.701666602331
p02,2020-11-25,-873.6529204564015
p02,2020-11-26,-690.2057727917727
p02,2020-11-27,-1381.8367007088477
p02,2020-11-28,-1452.2284075207986
p02,2020-11-29,-1173.5363859438503
p02,2020-11-30,-972.0824803195362
p02,2020-12-01,-1138.0238705702925
p02,2020-12-02,-932.9751244244444
p02,2020-12-03,-749.5279767602826
p02,2020-12-04,-1441.1589046756421
p02,2020-12-05,-1511.5506114891914
p02,2020-12-06,-1232.8585899121413
p02,2020-12-07,-1031.4046842873245
p02,2020-12-08,-1197.3460745393893
p02,2020-12-09,-992.297328392978
p02,2020-12-10,-808.8501807282402
p02,2020-12-11,-1500.4811086446875
p02,2020-12-12,-1570.8728154579308
p02,2020-12-13,-1292.180793880825
p02,2020-12-14,-1090.7268882567694
p02,2020-12-15,-1256.6682785080563
p02,2020-12-16,-1051.619532361512
p02,2020-12-17,-868.1723846970665
p02,2020-12-18,-1559.8033126138912
p02,2020-12-19,-1630.1950194263238
p02,2020-12-20,-1351.5029978487246
p02,2020-12-21,-1150.0490922251481
p02,2020-12-22,-1315.9904824771538
p02,2020-12-23,-1110.9417363300454
p02,2020-12-24,-927.4945886662101
p02,2020-12-25,-1619.1255165829366
p02,2020-12-26,-1689.517223395753
p02,2020-12-27,-1410.8252018174078
p02,2020-12-28,-1209.3712961940607
p02,2020-12-29,-1375.3126864451147
p02,2020-12-30,-1170.2639402980885
p02,2020-12-31,-986.8167926335348
p02,2021-01-01,-1678.4477205519815
p02,2021-01-02,-1748.8394273643191
p02,2021-01-03,-1470.1474057856994
p02,2021-01-04,-1268.6935001629731
p02,2021-01-05,-1434.6348904142114
p02,2021-01-06,-1229.5861442685534
p02,2021-01-07,-1046.1389966026775
p02,2021-01-08,-1737.7699245211065
p02,2021-01-09,-1808.1616313328855
p02,2021-01-10,-1529.4696097560502
p02,2021-01-11,-1328.0157041312934
p02,2021-01-12,-1493.9570943833091
p02,2021-01-13,-1288.908348236596
p02,2021-01-14,-1105.461200571504
p02,2021-01-15,-1797.0921284902315
p02,2021-01-16,-1867.483835301278
p02,2021-01-17,-1588.7918137239499
p02,2021-01-18,-1387.3379080996729
p02,2021-01-19,-1553.2792983512704
p02,2021-01-20,-1348.2305522051295
p02,2021-01-21,-1164.783404540331
p02,2021-01-22,-1856.4143324570255
p02,2021-01-23,-1926.8060392700181
p02,2021-01-24,-1648.1140176926335
p02,2021-01-25,-1446.6601120685848
p02,2021-01-26,-1612.6015023203674
p02,2021-01-27,-1407.5527561746126
p02,2021-01-28,-1224.1056085091582
p02,2021-01-29,-1915.7365364260704
p02,2021-01-30,-1986.1282432384114
p02,2021-01-31,-1707.4362216609245
p02,2021-02-01,-1505.9823160374972
p02,2021-02-02,-1671.9237062890343
p02,2021-02-03,-1466.8749601436375
p02,2021-02-04,-1283.4278124783011
p02,2021-02-05,-1975.058740395275
p02,2021-02-06,-2045.4504472076665
p02,2021-02-07,-1766.758425630884
p02,2021-02-08,-1565.3045200064096
p02,2021-02-09,-1731.245910257563
p02,2021-02-10,-1526.19716411168
p02,2021-02-11,-1342.7500164468115
p02,2021-02-12,-2034.3809443643204
p02,2021-02-13,-2104.7726511762326
p02,2021-02-14,-1826.0806295991758
p02,2021-02-15,-1624.6267239747888
p02,2021-02-16,-1790.5681142260923
p02,2021-02-17,-1585.5193680797229
p02,2021-02-18,-1402.0722204147685
p02,2021-02-19,-2093.703148333445
p02,2021-02-20,-2164.094855144799
p02,2021-02-21,-1885.4028335678586
p02,2021-02-22,-1683.9489279442334
p02,2021-02-23,-1849.8903181953274
p02,2021-02-24,-1644.8415720487474
p02,2021-02-25,-1461.3944243835954
p02,2021-02-26,-2153.0253523025694
p02,2021-02-27,-2223.4170591133657
p02,2021-02-28,-1944.7250375357578
p02,2021-03-01,-1743.2711319120215
p02,2021-03-02,-1909.2125221638564
p02,2021-03-03,-1704.1637760167905
p02,2021-03-04,-1520.7166283527386
p02,2021-03-05,-2212.347556269364
p02,2021-03-06,-2282.7392630826216
p02,2021-03-07,-2004.0472415044417
p02,2021-03-08,-1802.5933358809339
p02,2021-03-09,-1968.5347261323857
p02,2021-03-10,-1763.4859799853239
p02,2021-03-11,-1580.038832321249
p02,2021-03-12,-2271.6697602384093
p02,2021-03-13,-2342.06146705136
p02,2021-03-14,-2063.3694454731253
p02,2021-03-15,-1861.9155398498465
p02,2021-03-16,-2027.8569301009147
p02,2021-03-17,-1822.8081839552979
p02,2021-03-18,-1639.3610362903923
p02,2021-03-19,-2330.9919642075333
p02,2021-03-20,-2401.3836710197534
p02,2021-03-21,-2122.691649441417
p02,2021-03-22,-1921.2377438181659
p02,2021-03-23,-2087.179134070012
p02,2021-03-24,-1882.130387923832
p02,2021-03-25,-1698.6832402595355
p02,2021-03-26,-2390.3141681766583
p02,2021-03-27,-2460.70587498832
p02,2021-03-28,-2182.0138534113753
p02,2021-03-29,-1980.5599477865458
p02,2021-03-30,-2146.5013380379737
p02,2021-03-31,-1941.4525918918746
p03,2020-04-01,-105.13114976983638
p03,2020-04-02,-45.667394517798186
p03,2020-04-03,-75.27555256194341
p03,2020-04-04,-817.7672218667187
p03,2020-04-05,-827.5503650952668
p03,2020-04-06,-181.4530093388405
p03,2020-04-07,-303.6432763085299
p03,2020-04-08,-173.6130901090671
p03,2020-04-09,-114.14933485687806
p03,2020-04-10,-143.75749290250457
p03,2020-04-11,-886.2491622070024
p03,2020-04-12,-896.032305435175
p03,2020-04-13,-249.93494967832433
p03,2020-04-14,-372.12521664804757
